OBJECTID,ID,INDEX_PARC,NOM,ARROND,TYPE
339,004-0159,0582-000,Aire de jeu  5 à 12 ans,Ville-Marie,Aire de jeu - enfant
340,003-0088,0414-000,Aire de jeu 18 mois à 5 ans,Ahuntsic-Cartierville,Aire de jeu - enfant
341,004-0436,2009-000,Aire de jeu  5 à 12 ans,Anjou,Aire de jeu - enfant
342,018-0095,2459-000,Basketball,LaSalle,Récréatif
343,034-0007,1820-001,Football,Verdun,Sportif
344,076-0094,0256-000,Soccer à 7,Le Sud-Ouest,Sportif
345,042-0021,0018-000,Jeux d'eau,Ahuntsic-Cartierville,Récréatif
346,081-0045,2674-000,Tennis,Pierrefonds-Roxboro,Sportif
347,052-0127,2014-000,Patinoire avec bandes,Anjou,Récréatif
348,003-0453,0493-000,Aire de jeu 18 mois à 5 ans,Mercier-Hochelaga-Maisonneuve,Aire de jeu - enfant
349,076-0143,2014-000,Soccer à 7,Anjou,Sportif
350,001-0012,2365-000,Arbri soleil,L'Île-Bizard-Sainte-Geneviève,Plein air
351,050-0063,0708-000,Pataugeoire,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
352,007-0002,2469-000,Aire de lancer athlétisme,LaSalle,Sportif
353,050-0038,0401-000,Pataugeoire,Villeray-Saint-Michel-Parc-Extension,Récréatif
354,004-0416,0095-000,Aire de jeu  5 à 12 ans,Mercier-Hochelaga-Maisonneuve,Aire de jeu - enfant
355,012-0029,2554-000,Aire d'entraînement pour adultes,Montréal-Nord,Loisirs et détente
356,031-0005,0061-000,Étang / lac,Le Plateau-Mont-Royal,Plein air
357,021-0062,0094-000,Bocce,Mercier-Hochelaga-Maisonneuve,Loisirs et détente
358,018-0103,0311-000,Basketball,Le Sud-Ouest,Récréatif
359,003-0307,2938-000,Aire de jeu 18 mois à 5 ans,Verdun,Aire de jeu - enfant
360,089-0005,0224-000,Volleyball de plage,Le Plateau-Mont-Royal,Récréatif
361,003-0245,2701-000,Aire de jeu 18 mois à 5 ans,Pierrefonds-Roxboro,Aire de jeu - enfant
362,013-0007,0061-000,Aire d'exercice canin,Le Plateau-Mont-Royal,Loisirs et détente
363,050-0012,0061-000,Pataugeoire,Le Plateau-Mont-Royal,Récréatif
364,070-0031,0121-000,Sentier de ski de fond,Mercier-Hochelaga-Maisonneuve,Plein air
365,003-0044,0048-000,Aire de jeu 18 mois à 5 ans,Le Plateau-Mont-Royal,Aire de jeu - enfant
366,073-0009,0236-000,Soccer à 11,Le Plateau-Mont-Royal,Sportif
367,003-0145,0950-001,Aire de jeu 18 mois à 5 ans,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
368,003-0496,2851-000,Aire de jeu 18 mois à 5 ans,Saint-Léonard,Aire de jeu - enfant
369,003-0064,0576-000,Aire de jeu 18 mois à 5 ans,Le Plateau-Mont-Royal,Aire de jeu - enfant
370,003-0062,0236-000,Aire de jeu 18 mois à 5 ans,Le Plateau-Mont-Royal,Aire de jeu - enfant
371,003-0054,0332-000,Aire de jeu 18 mois à 5 ans,Le Plateau-Mont-Royal,Aire de jeu - enfant
372,003-0502,2856-000,Aire de jeu 18 mois à 5 ans,Saint-Léonard,Aire de jeu - enfant
373,016-0012,0061-000,Balle,Le Plateau-Mont-Royal,Sportif
374,003-0045,0310-000,Aire de jeu 18 mois à 5 ans,Le Plateau-Mont-Royal,Aire de jeu - enfant
375,095-0007,0061-000,Pétanque,Le Plateau-Mont-Royal,Loisirs et détente
376,054-0003,0047-000,Ping-pong,Le Plateau-Mont-Royal,Loisirs et détente
377,042-0015,0338-000,Jeux d'eau,Le Plateau-Mont-Royal,Récréatif
378,081-0011,0061-000,Tennis,Le Plateau-Mont-Royal,Sportif
379,050-0014,0046-000,Pataugeoire,Le Plateau-Mont-Royal,Récréatif
380,016-0014,0236-000,Balle,Le Plateau-Mont-Royal,Sportif
381,004-0055,0649-000,Aire de jeu  5 à 12 ans,Le Plateau-Mont-Royal,Aire de jeu - enfant
382,075-0076,2852-000,Soccer à 4-5,Saint-Léonard,Sportif
383,075-0025,1044-000,Soccer à 4-5,Ville-Marie,Sportif
384,081-0094,2851-000,Tennis,Saint-Léonard,Sportif
385,020-0009,9543-000,Belvédère,Ahuntsic-Cartierville,Loisirs et détente
386,081-0008,2807-000,Tennis,Saint-Laurent,Sportif
387,081-0054, ,Tennis,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
388,003-0023,2816-000,Aire de jeu 18 mois à 5 ans,Saint-Laurent,Aire de jeu - enfant
389,020-0011,9503-000,Belvédère,Pierrefonds-Roxboro,Loisirs et détente
390,021-0052,2850-000,Bocce,Saint-Léonard,Loisirs et détente
391,003-0410,0692-000,Aire de jeu 18 mois à 5 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
392,042-0137,2852-000,Jeux d'eau,Saint-Léonard,Récréatif
393,050-0031,0211-000,Pataugeoire,Rosemont-La Petite-Patrie,Récréatif
394,018-0110,0971-000,Basketball,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
395,021-0054,2852-000,Bocce,Saint-Léonard,Loisirs et détente
396,003-0409,0866-000,Aire de jeu 18 mois à 5 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
397,016-0034,0413-000,Balle,Ahuntsic-Cartierville,Sportif
398,064-0009,2367-000,Rampe de mise à l'eau / descente de bateaux,L'Île-Bizard-Sainte-Geneviève,Plein air
399,003-0105, ,Aire de jeu 18 mois à 5 ans,Lachine,Aire de jeu - enfant
400,009-0049,2557-000,Aire de pique-nique,Montréal-Nord,Plein air
401,016-0123,0699-000,Balle,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
402,004-0099,2413-000,Aire de jeu  5 à 12 ans,Lachine,Aire de jeu - enfant
403,081-0048,2348-000,Tennis,L'Île-Bizard-Sainte-Geneviève,Sportif
404,056-0004,9541-000,Piste cyclable,Ahuntsic-Cartierville,Plein air
405,081-0028,0401-000,Tennis,Villeray-Saint-Michel-Parc-Extension,Sportif
406,003-0270,0146-000,Aire de jeu 18 mois à 5 ans,Côte-des-Neiges-Notre-Dame-de-Grâce,Aire de jeu - enfant
407,012-0041,2858-000,Aire d'entraînement pour adultes,Saint-Léonard,Loisirs et détente
408,016-0007,2818-000,Balle,Saint-Laurent,Sportif
409,003-0381,0970-000,Aire de jeu 18 mois à 5 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
410,076-0031,0886-000,Soccer à 7,Rosemont-La Petite-Patrie,Sportif
411,010-0013,0251-000,Aire de planche à roulette,Ville-Marie,Récréatif
412,004-0228,1148-000,Aire de jeu  5 à 12 ans,Côte-des-Neiges-Notre-Dame-de-Grâce,Aire de jeu - enfant
413,070-0004,2401-000,Sentier de ski de fond,Lachine,Plein air
414,076-0135,0101-000,Soccer à 7,Mercier-Hochelaga-Maisonneuve,Sportif
415,049-0027,1860-014,Pastille - Basketball,Montréal-Nord,Récréatif
416,003-0158,1067-000,Aire de jeu 18 mois à 5 ans,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
417,009-0014,0391-000,Aire de pique-nique,Ville-Marie,Plein air
418,075-0004,2812-000,Soccer à 4-5,Saint-Laurent,Sportif
419,042-0074,2913-000,Jeux d'eau,Verdun,Récréatif
420,075-0017,2430-006,Soccer à 4-5,Lachine,Sportif
421,012-0055,2851-000,Aire d'entraînement pour adultes,Saint-Léonard,Loisirs et détente
422,004-0269,2910-000,Aire de jeu  5 à 12 ans,Verdun,Aire de jeu - enfant
423,003-0211,2672-000,Aire de jeu 18 mois à 5 ans,Pierrefonds-Roxboro,Aire de jeu - enfant
424,003-0353,0591-000,Aire de jeu 18 mois à 5 ans,Le Sud-Ouest,Aire de jeu - enfant
425,013-0045,2860-003,Aire d'exercice canin,Saint-Léonard,Loisirs et détente
426,003-0225,2670-000,Aire de jeu 18 mois à 5 ans,Pierrefonds-Roxboro,Aire de jeu - enfant
427,049-0008,0241-000,Pastille - Basketball,Rosemont-La Petite-Patrie,Récréatif
428,089-0060,0424-000,Volleyball de plage,Ahuntsic-Cartierville,Récréatif
429,003-0061,0047-000,Aire de jeu 18 mois à 5 ans,Le Plateau-Mont-Royal,Aire de jeu - enfant
430,003-0146,0407-000,Aire de jeu 18 mois à 5 ans,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
431,004-0058,0035-000,Aire de jeu  5 à 12 ans,Ahuntsic-Cartierville,Aire de jeu - enfant
432,073-0002,2812-000,Soccer à 11,Saint-Laurent,Sportif
433,009-0047,2564-000,Aire de pique-nique,Montréal-Nord,Plein air
434,003-0296,2895-000,Aire de jeu 18 mois à 5 ans,Verdun,Aire de jeu - enfant
435,018-0081,0510-000,Basketball,Côte-des-Neiges-Notre-Dame-de-Grâce,Récréatif
436,072-0010,2793-000,Anneau / Rond de glace,Saint-Laurent,Loisirs et détente
437,012-0001,2814-000,Aire d'entraînement pour adultes,Saint-Laurent,Loisirs et détente
438,075-0054,2895-000,Soccer à 4-5,Verdun,Sportif
439,003-0078,1149-000,Aire de jeu 18 mois à 5 ans,Ahuntsic-Cartierville,Aire de jeu - enfant
440,004-0406,0057-000,Aire de jeu  5 à 12 ans,Mercier-Hochelaga-Maisonneuve,Aire de jeu - enfant
441,004-0149,1146-000,Aire de jeu  5 à 12 ans,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
442,073-0098,0083-000,Soccer à 11,Mercier-Hochelaga-Maisonneuve,Sportif
443,016-0150,2005-000,Balle,Anjou,Sportif
444,081-0025,0946-000,Tennis,Villeray-Saint-Michel-Parc-Extension,Sportif
445,003-0326,2448-000,Aire de jeu 18 mois à 5 ans,LaSalle,Aire de jeu - enfant
446,021-0058,2856-000,Bocce,Saint-Léonard,Loisirs et détente
447,003-0438,2558-000,Aire de jeu 18 mois à 5 ans,Montréal-Nord,Aire de jeu - enfant
448,027-0004,0401-000,Cricket,Villeray-Saint-Michel-Parc-Extension,Sportif
449,018-0111,0924-000,Basketball,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
